id_osoby,imie,nazwisko,plec,login,email,hash_hasla,sol_do_hasla,pytanie_pomocnicze,hash_odpowiedzi,url_profilowe,data_zalozenia_konta,aktywne
1,Angelika,Kazimierczuk,KOBIETA,user1,user1@gmail.com,231a4678f8898ced948b89571f8d807f622b72f346a3a6eb9bb040813e063829,bf026382-dde8-49cc-8088-e3d6d5e6cb85,Imię pierwszego zwierzaka?,Burek,,2025-10-09 07:24:25,True
2,Ernest,Seweryniak,MEZCZYZNA,user2,user2@gmail.com,f24915488e625bde0a6ebab94399097f453297f3918fef042df3764862fbd542,6faf6f88-512e-4a23-bc1a-55e02ac951c2,Imię pierwszego zwierzaka?,Burek,,2022-06-14 13:14:45,True
3,Kaja,Krysta,KOBIETA,user3,user3@gmail.com,a4e6d2433ac4ec2cb40f89855723823e165d58342c8f09a62e3b9125da1c9b3a,3bf48ba6-7557-426f-9661-58199d8966e1,Imię pierwszego zwierzaka?,Burek,,2024-12-29 12:31:00,True
4,Kamila,Welenc,KOBIETA,user4,user4@interia.pl,055b012d945640b63985ea89392230629664748beaec844b7bdf6609d54b547e,8a9ed727-f620-4872-880d-1b9fe9ccf027,Imię pierwszego zwierzaka?,Burek,,2024-08-04 11:29:44,True
5,Róża,Romejko,KOBIETA,user5,user5@onet.pl,fbb48f6a01d26997423fbed3dac2a11695c35dcc6e517a5b1d9ba198cc1f6067,bf058566-0bf2-466d-bbc5-d52ef600aa72,Imię pierwszego zwierzaka?,Burek,,2023-07-22 16:08:59,True
6,Ksawery,Grądziel,NIEOKRESLONY,user6,user6@interia.pl,afa2c49dd0ae6cbd60c2dfc5b2821e06ad2244f155865de795381d60a049db68,b5dc79d6-213d-4d2f-9698-04178105fe69,Imię pierwszego zwierzaka?,Burek,,2023-05-10 13:16:00,True
7,Igor,Anders,MEZCZYZNA,user7,user7@hotmail.com,779f67c5cef7bee208951d567d8f0556ad05e17e623a59a5e96576118d61d426,c359fcd0-8eea-449b-8b47-53904c654fae,Imię pierwszego zwierzaka?,Burek,,2023-02-25 19:03:38,True
8,Patryk,Wojsław,NIEOKRESLONY,user8,user8@interia.pl,2b46987bde03ec6afd227f35588770263d83fe9cc468b41f3d94f3809b6f9eff,29c8d951-e4ed-447d-a650-39904cf6a6ed,Imię pierwszego zwierzaka?,Burek,,2022-05-16 11:02:20,True
9,Monika,Węgrzynowicz,KOBIETA,user9,user9@gmail.com,210c34ef7e51f236c6dd25ae5ce0418c0cf84e5c4735bd44657cea7b0d8cb1af,35ea74c2-be16-435a-ae22-aa267e532c26,Imię pierwszego zwierzaka?,Burek,,2021-01-23 09:06:11,True
10,Liwia,Starostka,KOBIETA,user10,user10@gmail.com,1e9e7100de0c0b34494be99b066593494aa61839cb21518907539cf792ec4528,8c401a54-d9e5-433c-9bc0-efbcfa6b42e2,Imię pierwszego zwierzaka?,Burek,,2022-02-25 04:09:15,True
